iter	Logloss
0	0.6824719641
1	0.6710547327
2	0.6604533883
3	0.6496881284
4	0.6415540016
5	0.6325320977
6	0.6228840788
7	0.6149681753
8	0.6094979294
9	0.6031820824
10	0.5965417419
11	0.59089291
12	0.5839575595
13	0.5788727124
14	0.5728123007
15	0.5678060658
16	0.5623212681
17	0.5577982864
18	0.5528069688
19	0.5481922355
20	0.5443997256
21	0.5405836928
22	0.5366165663
23	0.5322479807
24	0.5293691919
25	0.5256061153
26	0.5223708454
27	0.5184444817
28	0.5159968114
29	0.5132590912
30	0.5103064781
31	0.5069809062
32	0.5037331482
33	0.5008817917
34	0.4989208992
35	0.4971688618
36	0.4945724525
37	0.4924409332
38	0.4900939841
39	0.4882145548
40	0.4865408037
41	0.4841176172
42	0.4824670812
43	0.480450548
44	0.4787057666
45	0.4765162845
46	0.4752451609
47	0.4732078381
48	0.4716929212
49	0.4701963308
50	0.4687608028
51	0.4676270923
52	0.4656721737
53	0.4641011559
54	0.4623457744
55	0.460668303
56	0.4591342949
57	0.4573701908
58	0.4559555765
59	0.4548813003
60	0.454071881
61	0.4530052382
62	0.4517448813
63	0.4504808535
64	0.4491006402
65	0.4479115287
66	0.4470963415
67	0.4463175324
68	0.445473382
69	0.4448213624
70	0.4440889392
71	0.4430875123
72	0.4423643556
73	0.4412711588
74	0.4401656872
75	0.4390835047
76	0.4385053885
77	0.4374912721
78	0.4367323234
79	0.4359745194
80	0.4352099856
81	0.434516675
82	0.4337120549
83	0.4326823646
84	0.4320185414
85	0.431332862
86	0.4304215859
87	0.4296637318
88	0.4289736796
89	0.4283177313
90	0.4275374407
91	0.4267687785
92	0.4260759629
93	0.425509028
94	0.4249124923
95	0.4245424961
96	0.4238028758
97	0.4230112445
98	0.4224889321
99	0.4221307943
100	0.4213815296
101	0.4208275615
102	0.4199908102
103	0.4193371768
104	0.4185085438
105	0.4176158075
106	0.4171468563
107	0.416589014
108	0.4161691259
109	0.415734108
110	0.4153703521
111	0.4148563406
112	0.4144430302
113	0.4138472644
114	0.4133296625
115	0.4127277198
116	0.4119683745
117	0.4116483788
118	0.4112791414
119	0.4107816489
120	0.4103421253
121	0.410111005
122	0.4097796177
123	0.4093716068
124	0.4090336175
125	0.408513146
126	0.4080842833
127	0.4078222487
128	0.4075047081
129	0.4071707901
130	0.4069507081
131	0.4063771634
132	0.406074196
133	0.405652283
134	0.4052879549
135	0.4049273357
136	0.4045247936
137	0.4041550797
138	0.4038429961
139	0.4035210372
140	0.4030174297
141	0.4027065776
142	0.4023847729
143	0.4020903331
144	0.4018110091
145	0.4015556319
146	0.4010593007
147	0.4005745971
148	0.4001719987
149	0.3998575646
150	0.3994329933
151	0.3988743543
152	0.3983185383
153	0.3980358615
154	0.3977065467
155	0.3974279514
156	0.3971085634
157	0.3964751823
158	0.3962374177
159	0.3958570935
160	0.3956520489
161	0.395366822
162	0.3947934625
163	0.3944953979
164	0.3942570265
165	0.3937530892
166	0.393462867
167	0.3930004363
168	0.392412777
169	0.3920122652
170	0.3916577935
171	0.3914013283
172	0.3910812994
173	0.390841198
174	0.390618164
175	0.3904468108
176	0.3903305627
177	0.389878909
178	0.389611488
179	0.3894486499
180	0.3891750272
181	0.3889714211
182	0.388754799
183	0.3885090203
184	0.3882590603
185	0.3879128996
186	0.3877140193
187	0.3874050805
188	0.3870772204
189	0.3862962812
190	0.3860608899
191	0.3858657431
192	0.3856676096
193	0.3852377354
194	0.3850558021
195	0.3847902743
196	0.3846201463
197	0.3843090434
198	0.3840757289
199	0.3838738839
200	0.3836649246
201	0.3833823773
202	0.3832022256
203	0.3829912582
204	0.3825015261
205	0.3823194514
206	0.382149481
207	0.381931484
208	0.3817402994
209	0.3814869153
210	0.3812725481
211	0.3810640554
212	0.3808545151
213	0.3806484861
214	0.3801965499
215	0.3799649089
216	0.3797374356
217	0.3796114945
218	0.3793953311
219	0.3790182475
220	0.3788399959
221	0.378714028
222	0.378448273
223	0.3782593778
224	0.3780705693
225	0.3779298218
226	0.3777216314
227	0.3774738737
228	0.3772197685
229	0.3770422479
230	0.376841318
231	0.3764498448
232	0.3762076494
233	0.3759832766
234	0.3758092589
235	0.3755620123
236	0.3754203911
237	0.3752212237
238	0.3750696269
239	0.3748809606
240	0.3746592527
241	0.374506475
242	0.3743253231
243	0.3741974989
244	0.3740808076
245	0.373802415
246	0.3736085644
247	0.3733163731
248	0.3732129034
249	0.3730286379
250	0.372829029
251	0.3725854208
252	0.3724385661
253	0.3721514098
254	0.3720520283
255	0.3718995357
256	0.371689713
257	0.3715656223
258	0.3713991856
259	0.3712566726
260	0.3706607883
261	0.3704956448
262	0.3703229245
263	0.3701252401
264	0.3698648472
265	0.3697581698
266	0.3696037676
267	0.3693128851
268	0.3690749416
269	0.3689494267
270	0.368761192
271	0.3686129405
272	0.3685173989
273	0.3683300532
274	0.3681543528
275	0.3679841542
276	0.3678372824
277	0.3677003475
278	0.367541387
279	0.3673646575
280	0.367164698
281	0.3670235231
282	0.3665552363
283	0.3663405543
284	0.3660888667
285	0.3659068008
286	0.365662378
287	0.3655386596
288	0.3653999925
289	0.3652245277
290	0.3650944103
291	0.364949424
292	0.364751074
293	0.3646316935
294	0.3645156976
295	0.3643657394
296	0.364188209
297	0.3640784664
298	0.3639820433
299	0.3637637671
300	0.363487098
301	0.363308111
302	0.363140352
303	0.3628633355
304	0.3627134359
305	0.3625806478
306	0.3623858443
307	0.3622586452
308	0.3620043808
309	0.3617368578
310	0.3616019474
311	0.3615114467
312	0.3612585956
313	0.3611376611
314	0.3609882022
315	0.3607516456
316	0.3606093011
317	0.3604960701
318	0.3602680561
319	0.360190153
320	0.3600825507
321	0.3598284833
322	0.3595824384
323	0.3593003722
324	0.3591662096
325	0.3589146572
326	0.3587174186
327	0.3585410433
328	0.3583481407
329	0.3581780614
330	0.3579364814
331	0.3578696941
332	0.3577423652
333	0.3576156758
334	0.3572230985
335	0.3570796576
336	0.3569220116
337	0.3568339658
338	0.3566440897
339	0.3564644111
340	0.356288345
341	0.3561795711
342	0.356046107
343	0.3556607495
344	0.3554291302
345	0.3551212693
346	0.3550034214
347	0.3548649455
348	0.3547068058
349	0.3545449395
350	0.3544315257
351	0.354318922
352	0.3541260166
353	0.3538789406
354	0.3537594246
355	0.353657061
356	0.3534498621
357	0.353298845
358	0.3531873511
359	0.3530718897
360	0.3529855732
361	0.3528134077
362	0.3525994904
363	0.3524581781
364	0.3523533385
365	0.3521938944
366	0.3520636046
367	0.3518944555
368	0.3517805039
369	0.3516840259
370	0.3515170105
371	0.3513148412
372	0.3511472055
373	0.3510308939
374	0.3509064516
375	0.350773684
376	0.3506707999
377	0.3505666674
378	0.3504422802
379	0.3502680245
380	0.3501489956
381	0.349986334
382	0.349784154
383	0.349586639
384	0.3493675976
385	0.349190372
386	0.3490490529
387	0.3489404297
388	0.3488478063
389	0.3486187322
390	0.3484994071
391	0.348395482
392	0.3482492771
393	0.3481165701
394	0.3479297577
395	0.3478206085
396	0.3476922709
397	0.3475422217
398	0.3473463591
399	0.3471860125
400	0.3470739059
401	0.3469405863
402	0.3468141038
403	0.3466230553
404	0.3464702643
405	0.3463567182
406	0.3462519979
407	0.346136308
408	0.3459837738
409	0.3457121375
410	0.3455365911
411	0.3453154628
412	0.3451348994
413	0.3449620864
414	0.3448612582
415	0.3447241102
