iter	Passed	Remaining
0	5	5592
1	11	5552
2	16	5350
3	21	5255
4	27	5433
5	32	5328
6	37	5287
7	42	5225
8	47	5201
9	52	5246
10	57	5212
11	62	5117
12	66	5075
13	71	5035
14	75	4935
15	80	4957
16	86	5020
17	91	5015
18	96	4968
19	100	4935
20	104	4874
21	108	4844
22	114	4857
23	118	4833
24	123	4818
25	128	4819
26	133	4798
27	137	4757
28	141	4740
29	146	4723
30	150	4695
31	154	4669
32	159	4669
33	164	4677
34	170	4698
35	175	4697
36	179	4684
37	183	4653
38	189	4662
39	195	4682
40	201	4708
41	206	4705
42	211	4698
43	215	4687
44	219	4667
45	224	4649
46	230	4666
47	235	4673
48	240	4663
49	244	4646
50	249	4638
51	254	4631
52	258	4610
53	262	4602
54	267	4595
55	272	4596
56	278	4605
57	283	4611
58	288	4604
59	292	4582
60	296	4563
61	300	4543
62	304	4525
63	307	4503
64	311	4487
65	316	4480
66	321	4478
67	325	4465
68	329	4451
69	334	4438
70	337	4420
71	341	4406
72	345	4388
73	349	4370
74	352	4351
75	356	4334
76	360	4320
77	364	4307
78	368	4298
79	372	4285
80	377	4284
81	383	4292
82	388	4290
83	392	4283
84	397	4281
85	402	4278
86	407	4272
87	411	4266
88	415	4254
89	419	4242
90	423	4233
91	427	4222
92	432	4213
93	436	4204
94	440	4192
95	444	4186
96	448	4179
97	452	4167
98	457	4159
99	461	4151
100	464	4138
101	468	4126
102	472	4113
103	476	4103
104	480	4098
105	484	4088
106	488	4074
107	491	4062
108	495	4052
109	500	4048
110	504	4040
111	508	4032
112	513	4027
113	517	4021
114	521	4016
115	526	4014
116	531	4008
117	534	3998
118	539	3992
119	543	3982
120	546	3973
121	551	3968
122	557	3975
123	565	3997
124	572	4004
125	577	4007
126	583	4010
127	589	4015
128	594	4015
129	600	4015
130	604	4012
131	611	4019
132	617	4025
133	623	4029
134	630	4036
135	636	4040
136	642	4047
137	647	4043
138	652	4043
139	658	4045
140	664	4047
141	669	4044
142	674	4042
143	679	4038
144	682	4026
145	687	4020
146	691	4012
147	695	4002
148	699	3994
149	703	3984
150	707	3976
151	711	3968
152	715	3958
153	719	3953
154	724	3947
155	728	3940
156	733	3938
157	737	3929
158	742	3926
159	747	3922
160	751	3915
161	755	3905
162	759	3901
163	764	3898
164	768	3890
165	772	3883
166	776	3872
167	780	3865
168	783	3854
169	788	3847
170	793	3844
171	797	3838
172	801	3832
173	805	3821
174	809	3816
175	813	3808
176	816	3798
177	820	3790
178	824	3781
179	828	3773
180	831	3764
181	835	3756
182	839	3748
183	843	3739
184	847	3731
185	850	3722
186	854	3714
187	858	3706
188	861	3698
189	865	3690
190	869	3684
191	873	3677
192	877	3669
193	881	3661
194	884	3653
195	888	3646
196	892	3637
197	896	3630
198	900	3623
199	904	3616
200	908	3609
201	911	3602
202	916	3596
203	920	3590
204	923	3583
205	927	3576
206	931	3570
207	936	3564
208	940	3557
209	943	3551
210	947	3544
211	951	3538
212	956	3534
213	960	3529
214	965	3523
215	969	3519
216	973	3513
217	992	3561
218	997	3556
219	1001	3551
220	1006	3546
221	1011	3543
222	1015	3537
223	1019	3531
224	1024	3529
225	1029	3525
226	1034	3523
227	1039	3520
228	1044	3517
229	1050	3515
230	1054	3509
231	1059	3505
232	1063	3501
233	1068	3498
234	1073	3493
235	1078	3490
236	1082	3485
237	1087	3481
238	1092	3477
239	1097	3475
240	1102	3470
241	1106	3465
242	1111	3461
243	1115	3455
244	1119	3451
245	1124	3446
246	1130	3445
247	1134	3441
248	1139	3436
249	1144	3434
250	1149	3431
251	1154	3427
252	1159	3424
253	1164	3420
254	1169	3416
255	1174	3412
256	1179	3410
257	1184	3405
258	1189	3402
